Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPperG,PTSperG,RBperG,ASTperG,WS,WS/48,BPM,VORP,Year
73,NYK,Paul Benec,Duquesne,,,0.0,,,,,,,,,,,,,,,1962
74,STL,Marvin Trotman,Elizabeth City State University,,,0.0,,,,,,,,,,,,,,,1962
75,DET,Bill Nelson,Hamline University,,,0.0,,,,,,,,,,,,,,,1962
76,SYR,Vince Brewer,Iowa State,,,0.0,,,,,,,,,,,,,,,1962
77,CIN,Chris Jones,Carson-Newman College,,,0.0,,,,,,,,,,,,,,,1962
78,SFW,Tom Kieffer,Saint Louis,,,0.0,,,,,,,,,,,,,,,1962
79,LAL,Bill Mattson,Minnesota,,,0.0,,,,,,,,,,,,,,,1962
80,BOS,Mike Cingiser,Brown University,,,0.0,,,,,,,,,,,,,,,1962
81,CHZ,Pete Campbell,Princeton,,,0.0,,,,,,,,,,,,,,,1962
82,NYK,Ralph Richardson,Eastern Kentucky University,,,0.0,,,,,,,,,,,,,,,1962
83,STL,Charlie Sells,Washington State,,,0.0,,,,,,,,,,,,,,,1962
84,DET,Glenn Moore,Oregon,,,0.0,,,,,,,,,,,,,,,1962
85,CIN,George Knighton,New Mexico State,,,0.0,,,,,,,,,,,,,,,1962
86,SFW,Ken McComb,UNC,,,0.0,,,,,,,,,,,,,,,1962
87,CHZ,Jeff Slade,Kenyon College,1,3,20.0,4,7,0,.400,,.000,6.7,1.3,2.3,0.0,0.0,-.053,,,1962
88,NYK,Ed Mazria,Pratt Institute,,,0.0,,,,,,,,,,,,,,,1962
89,STL,Tom Chappelle,University of Maine,,,0.0,,,,,,,,,,,,,,,1962
90,CIN,Frank Pinchback,Xavier,,,0.0,,,,,,,,,,,,,,,1962
91,SFW,Donnie Walsh,UNC,,,0.0,,,,,,,,,,,,,,,1962
92,CHZ,Mel Nowell,Ohio State,1,39,589.0,232,67,84,.388,,.727,15.1,5.9,1.7,2.2,-0.1,-.006,,,1962
93,STL,John Caveny,LeMoyne College,,,0.0,,,,,,,,,,,,,,,1962
94,SFW,Charles Warren,Oregon,,,0.0,,,,,,,,,,,,,,,1962
95,CHZ,Tom Kennedy,Lewis (IL),,,0.0,,,,,,,,,,,,,,,1962
96,STL,Jerry Carlton,Arkansas,,,0.0,,,,,,,,,,,,,,,1962
97,CHZ,Bob Mahland,Williams,,,0.0,,,,,,,,,,,,,,,1962
98,STL,Wilky Gilmore,Colorado,,,0.0,,,,,,,,,,,,,,,1962
99,CHZ,Pat McKenzie,Kansas State,,,0.0,,,,,,,,,,,,,,,1962
100,STL,Dave Ricereto,Rhode Island,,,0.0,,,,,,,,,,,,,,,1962
101,CHZ,Norman Majors,Rockhurst University,,,0.0,,,,,,,,,,,,,,,1962
102,STL,Rally Rounsaville,California Institute of Technology,,,0.0,,,,,,,,,,,,,,,1962
5,CIN,Tom Thacker,Cincinnati,4,218,2187.0,721,522,222,.371,,.482,10.0,3.3,2.4,1.0,-0.6,-.014,,,1963
1,NYK,Art Heyman,Duke,3,147,3019.0,1519,414,346,.427,,.679,20.5,10.3,2.8,2.4,4.0,.063,,,1963
2,BAL,Rod Thorn,West Virginia,8,466,10376.0,5012,1463,1214,.433,,.723,22.3,10.8,3.1,2.6,17.2,.080,,,1963
3,SFW,Nate Thurmond,Bowling Green,14,964,35881.0,14437,14464,2575,.421,,.667,37.2,15.0,15.0,2.7,78.0,.104,1.1,5.9,1963
4,DET,Eddie Miles,Seattle University,9,605,15681.0,8120,1860,1225,.440,,.747,25.9,13.4,3.1,2.0,24.4,.075,,,1963
6,STL,Gerry Ward,Boston College,4,169,2049.0,542,294,237,.356,,.639,12.1,3.2,1.7,1.4,1.0,.023,,,1963
7,PHI,Tom Hoover,Villanova,3,100,1270.0,350,425,56,.413,,.591,12.7,3.5,4.3,0.6,0.6,.023,,,1963
8,LAL,Roger Strickland,Jacksonville University,1,1,4.0,2,0,0,.333,,,4.0,2.0,0.0,0.0,0.0,-.224,,,1963
9,BOS,Bill Green,Colorado State,,,0.0,,,,,,,,,,,,,,,1963
10,NYK,Jerry Harkness,Loyola Chicago,1,5,59.0,29,6,6,.433,,.375,11.8,5.8,1.2,1.2,0.0,-.017,,,1963
11,BAL,Gus Johnson,Idaho,9,581,20140.0,9944,7379,1541,.440,,.699,34.7,17.1,12.7,2.7,35.8,.085,,,1963
12,SFW,Gary Hill,Oklahoma City University,2,79,1118.0,370,130,110,.371,,.637,14.2,4.7,1.6,1.4,0.4,.016,,,1963
13,DET,Jerry Smith,Furman University,,,0.0,,,,,,,,,,,,,,,1963
14,LAL,Jim King,Tulsa,10,607,11187.0,4377,1500,1412,.418,,.782,18.4,7.2,2.5,2.3,17.7,.076,,,1963
15,STL,Leland Mitchell,Mississippi State,,,0.0,,,,,,,,,,,,,,,1963
16,PHI,Hershell West,Grambling State University,,,0.0,,,,,,,,,,,,,,,1963
17,LAL,Mel Gibson,Western Carolina University,1,9,53.0,13,4,6,.300,,.500,5.9,1.4,0.4,0.7,-0.1,-.119,,,1963
18,STL,Ken Saylors,Arkansas Tech University,,,0.0,,,,,,,,,,,,,,,1963
19,NYK,Bill O'Connor,Canisius,,,0.0,,,,,,,,,,,,,,,1963
20,BAL,Tom Bolyard,Indiana,,,0.0,,,,,,,,,,,,,,,1963
21,SFW,Steve Gray,Saint Mary's,,,0.0,,,,,,,,,,,,,,,1963
22,DET,Mike McCoy,Miami (FL),,,0.0,,,,,,,,,,,,,,,1963
23,CIN,Jimmy Rayl,Indiana,,,0.0,,,,,,,,,,,,,,,1963
24,STL,Bill Burwell,Illinois,,,0.0,,,,,,,,,,,,,,,1963
25,PHI,Jerry Greenspan,Maryland,2,25,329.0,122,83,11,.388,,.724,13.2,4.9,3.3,0.4,0.4,.060,,,1963
26,LAL,Lyle Harger,Houston,,,0.0,,,,,,,,,,,,,,,1963
27,BOS,Chuck Kriston,Valparaiso,,,0.0,,,,,,,,,,,,,,,1963
28,NYK,Nate Cloud,University of Delaware,,,0.0,,,,,,,,,,,,,,,1963
29,BAL,Nolen Ellison,Kansas,,,0.0,,,,,,,,,,,,,,,1963
30,SFW,Dave Downey,Illinois,,,0.0,,,,,,,,,,,,,,,1963
31,DET,Dave Erickson,Marquette,,,0.0,,,,,,,,,,,,,,,1963
32,CIN,Ken Charlton,Colorado,,,0.0,,,,,,,,,,,,,,,1963
33,STL,Waite Bellamy,Florida A&M,,,0.0,,,,,,,,,,,,,,,1963
34,PHI,Ray Flynn,Providence,,,0.0,,,,,,,,,,,,,,,1963
35,LAL,Layton Johns,Auburn,,,0.0,,,,,,,,,,,,,,,1963
36,BOS,Connie McGuire,Southeastern Oklahoma State University,,,0.0,,,,,,,,,,,,,,,1963
37,NYK,Joe McDermott,Belmont Abbey College,,,0.0,,,,,,,,,,,,,,,1963
38,BAL,Ron Glaser,Marquette,,,0.0,,,,,,,,,,,,,,,1963
39,SFW,Don Turner,Southwestern College,,,0.0,,,,,,,,,,,,,,,1963
40,DET,Bill Small,Illinois,,,0.0,,,,,,,,,,,,,,,1963
41,CIN,Mack Herndon,Bradley,,,0.0,,,,,,,,,,,,,,,1963
42,STL,Tony Yates,Cincinnati,,,0.0,,,,,,,,,,,,,,,1963
43,PHI,Tony Cerkvenik,Arizona State,,,0.0,,,,,,,,,,,,,,,1963
44,LAL,Larry Jones,Toledo,2,95,2235.0,854,241,270,.400,,.815,23.5,9.0,2.5,2.8,2.5,.055,-0.2,0.9,1963
45,BOS,Red Stroud,Mississippi State,,,0.0,,,,,,,,,,,,,,,1963
46,NYK,Jim Kerwin,Tulane,,,0.0,,,,,,,,,,,,,,,1963
47,BAL,Ken Siebel,Wisconsin,,,0.0,,,,,,,,,,,,,,,1963
48,SFW,Gene Shields,Santa Clara,,,0.0,,,,,,,,,,,,,,,1963
49,DET,Reggie Harding,,3,205,5529.0,1839,1865,343,.413,,.607,27.0,9.0,9.1,1.7,5.7,.049,,,1963
50,CIN,Jim McCormick,West Virginia,,,0.0,,,,,,,,,,,,,,,1963
51,STL,Al Santio,Maryland,,,0.0,,,,,,,,,,,,,,,1963
52,PHI,Vince Brewer,Iowa State,,,0.0,,,,,,,,,,,,,,,1963
53,LAL,Warren Sallade,Westminster College of Pennsylvania,,,0.0,,,,,,,,,,,,,,,1963
54,BOS,Vinnie Ernst,Providence,,,0.0,,,,,,,,,,,,,,,1963
55,NYK,Bob Woollard,Wake Forest,,,0.0,,,,,,,,,,,,,,,1963
56,BAL,Larry Brown,UNC,,,0.0,,,,,,,,,,,,,,,1963
57,SFW,Don Clemetson,Stanford,,,0.0,,,,,,,,,,,,,,,1963
58,DET,Ira Harge,New Mexico,,,0.0,,,,,,,,,,,,,,,1963
59,CIN,Hunter Beckman,Memphis,,,0.0,,,,,,,,,,,,,,,1963
60,STL,Ken Rohloff,NC State,1,2,7.0,0,0,1,.000,,,3.5,0.0,0.0,0.5,0.0,-.131,,,1963
61,PHI,Bill Brown,Howard Payne University,,,0.0,,,,,,,,,,,,,,,1963
62,LAL,Gordie Martin,USC,,,0.0,,,,,,,,,,,,,,,1963
63,BOS,Herb Magee,Philadelphia University,,,0.0,,,,,,,,,,,,,,,1963
64,NYK,Freddie Crawford,St. Bonaventure,5,297,5047.0,2031,746,610,.446,,.595,17.0,6.8,2.5,2.1,6.1,.058,,,1963
65,BAL,Rich Froistad,Iowa State,,,0.0,,,,,,,,,,,,,,,1963
66,SFW,Harry Dinnel,Pepperdine,,,0.0,,,,,,,,,,,,,,,1963
67,DET,Gary Silc,Northern Michigan University,,,0.0,,,,,,,,,,,,,,,1963
68,STL,Harold Ray Strother,Texas A&M,,,0.0,,,,,,,,,,,,,,,1963
69,NYK,Ray Cronk,Lakeland College,,,0.0,,,,,,,,,,,,,,,1963
70,BAL,Ron Jackson,Wisconsin,,,0.0,,,,,,,,,,,,,,,1963
71,SFW,Chuck White,Idaho,,,0.0,,,,,,,,,,,,,,,1963
72,DET,Ernie Dunston,Seattle University,,,0.0,,,,,,,,,,,,,,,1963
73,STL,Frank Davis,Oklahoma Christian University,,,0.0,,,,,,,,,,,,,,,1963
74,NYK,Gerald Glur,Furman University,,,0.0,,,,,,,,,,,,,,,1963
75,BAL,M. C. Thompson,DePaul,,,0.0,,,,,,,,,,,,,,,1963
76,STL,Carl Ritter,SE Missouri State,,,0.0,,,,,,,,,,,,,,,1963
77,NYK,Orb Bowling,Tennessee,,,0.0,,,,,,,,,,,,,,,1963
78,STL,Marv Straw,Iowa State,,,0.0,,,,,,,,,,,,,,,1963
79,NYK,Bob Walters,Baldwin-Wallace College,,,0.0,,,,,,,,,,,,,,,1963
80,STL,Hugh Evans,North Carolina A&T,,,0.0,,,,,,,,,,,,,,,1963
81,NYK,Jerry Szachara,Cornell,,,0.0,,,,,,,,,,,,,,,1963
82,STL,Gary McFarland,Central Missouri State University,,,0.0,,,,,,,,,,,,,,,1963
83,NYK,Bill Raftery,La Salle,,,0.0,,,,,,,,,,,,,,,1963
84,NYK,Ron Pickett,Eastern Kentucky University,,,0.0,,,,,,,,,,,,,,,1963
5,LAL,Walt Hazzard,UCLA,10,724,19202.0,9087,2146,3555,.441,,.757,26.5,12.6,3.0,4.9,30.3,.076,-1.9,0.0,1964
8,CIN,George Wilson,Cincinnati,7,410,5768.0,2216,2144,307,.372,,.677,14.1,5.4,5.2,0.7,0.5,.004,,,1964
1,NYK,Jim Barnes,Texas-El Paso,7,454,9455.0,3997,2939,377,.429,,.684,20.8,8.8,6.5,0.8,14.2,.072,,,1964
2,DET,Joe Caldwell,Arizona State,6,468,13874.0,7127,2367,1257,.459,,.634,29.6,15.2,5.1,2.7,23.9,.083,,,1964
3,BAL,Gary Bradds,Ohio State,2,44,350.0,144,92,20,.410,,.716,8.0,3.3,2.1,0.5,0.5,.067,,,1964
4,PHI,Luke Jackson,University of Texas Rio Grande Valley,8,522,13783.0,5170,4613,818,.415,,.722,26.4,9.9,8.8,1.6,22.3,.078,,,1964
6,STL,Jeff Mullins,Duke,12,804,24574.0,13017,3427,3023,.463,,.814,30.6,16.2,4.3,3.8,62.8,.123,-0.4,1.6,1964
7,SFW,Barry Kramer,NYU,1,52,507.0,186,100,41,.339,,.714,9.8,3.6,1.9,0.8,0.2,.017,,,1964
9,BOS,Mel Counts,Oregon State,12,789,13723.0,6516,4756,1100,.435,,.764,17.4,8.3,6.0,1.4,27.7,.097,-0.6,0.8,1964
10,NYK,Willis Reed,Grambling State University,10,650,23073.0,12183,8414,1186,.476,,.747,35.5,18.7,12.9,1.8,74.9,.156,1.3,0.4,1964
11,DET,Les Hunter,Loyola Chicago,1,24,114.0,42,50,11,.281,,.429,4.8,1.8,2.1,0.5,-0.5,-.210,,,1964
12,STL,Paul Silas,Creighton,16,1254,34989.0,11782,12357,2572,.432,,.673,27.9,9.4,9.9,2.1,79.9,.110,-0.6,5.6,1964
13,PHI,Ira Harge,New Mexico,,,0.0,,,,,,,,,,,,,,,1964
14,LAL,Cotton Nash,Kentucky,1,45,357.0,137,83,19,.324,,.827,7.9,3.0,1.8,0.4,0.0,-.001,,,1964
15,NYK,Howard Komives,Bowling Green,10,742,20213.0,7550,1804,2941,.388,,.830,27.2,10.2,2.4,4.0,5.0,.012,-4.0,-0.4,1964
16,SFW,Bud Koper,Oklahoma City University,1,54,631.0,247,61,43,.440,,.833,11.7,4.6,1.1,0.8,1.0,.078,,,1964
17,CIN,Bill Chmielewski,Dayton,,,0.0,,,,,,,,,,,,,,,1964
18,BOS,Ron Bonham,Cincinnati,2,76,681.0,478,113,30,.391,,.832,9.0,6.3,1.5,0.4,2.0,.138,,,1964
19,NYK,Brian Generalovich,Pitt,,,0.0,,,,,,,,,,,,,,,1964
20,DET,Wali Jones,Villanova,10,607,14420.0,6140,1394,1947,.409,,.800,23.8,10.1,2.3,3.2,14.9,.049,-3.8,-0.1,1964
21,BAL,Jerry Sloan,University of Evansville,11,755,25750.0,10571,5615,1925,.427,,.722,34.1,14.0,7.4,2.5,49.5,.092,0.7,4.1,1964
22,PHI,Larry Jones,Toledo,2,95,2235.0,854,241,270,.400,,.815,23.5,9.0,2.5,2.8,2.5,.055,-0.2,0.9,1964
23,LAL,Tom Dose,Stanford,,,0.0,,,,,,,,,,,,,,,1964
24,STL,Art Becker,Arizona State,,,0.0,,,,,,,,,,,,,,,1964
25,SFW,McCoy McLemore,Drake University,8,580,12221.0,5130,3161,733,.394,,.771,21.1,8.8,5.5,1.3,9.5,.037,,,1964
26,CIN,Steve Courtin,Saint Joseph's,1,24,317.0,101,22,22,.408,,.810,13.2,4.2,0.9,0.9,0.2,.036,,,1964
27,BOS,John Thompson,Providence,2,74,771.0,262,260,19,.410,,.595,10.4,3.5,3.5,0.3,2.1,.128,,,1964
28,NYK,Freddie Crawford,St. Bonaventure,5,297,5047.0,2031,746,610,.446,,.595,17.0,6.8,2.5,2.1,6.1,.058,,,1964
29,DET,Jim Davis,Colorado,8,597,10027.0,3997,3109,739,.461,,.674,16.8,6.7,5.2,1.2,19.2,.092,0.1,1.1,1964
30,BAL,Pete Spoden,University of Northern Iowa,,,0.0,,,,,,,,,,,,,,,1964
31,PHI,Frank Corace,La Salle,,,0.0,,,,,,,,,,,,,,,1964
32,LAL,Hank Finkel,Dayton,9,551,6866.0,2790,2151,426,.449,,.662,12.5,5.1,3.9,0.8,13.5,.094,-3.0,-0.2,1964
33,STL,Willie Murrell,Kansas State,,,0.0,,,,,,,,,,,,,,,1964
34,SFW,Gene Elmore,SMU,,,0.0,,,,,,,,,,,,,,,1964
35,CIN,Happy Hairston,NYU,11,776,24330.0,11505,8019,1268,.478,,.741,31.4,14.8,10.3,1.6,70.0,.138,0.5,3.1,1964
36,BOS,Joe Strawder,Bradley,3,231,6365.0,1977,2296,245,.426,,.686,27.6,8.6,9.9,1.1,10.8,.082,,,1964
37,NYK,Tony Gennari,Canisius,,,0.0,,,,,,,,,,,,,,,1964
38,DET,Ray Wolford,Toledo,,,0.0,,,,,,,,,,,,,,,1964
39,BAL,Bennie Lenox,Texas A&M,,,0.0,,,,,,,,,,,,,,,1964
40,PHI,Lou Skurcenski,Westminster College of Pennsylvania,,,0.0,,,,,,,,,,,,,,,1964
41,LAL,John Savage,University of North Texas,,,0.0,,,,,,,,,,,,,,,1964
42,STL,John Tresvant,Seattle University,9,559,12296.0,5118,3546,806,.451,,.693,22.0,9.2,6.3,1.4,24.4,.095,,,1964
43,SFW,Roger Suttner,Kansas State,,,0.0,,,,,,,,,,,,,,,1964
44,CIN,George Kirk,Memphis,,,0.0,,,,,,,,,,,,,,,1964
45,BOS,Nick Werkman,Seton Hall,,,0.0,,,,,,,,,,,,,,,1964
46,NYK,Tom Lavelle,Western Carolina University,,,0.0,,,,,,,,,,,,,,,1964
47,DET,Larry Phillips,Rice University,,,0.0,,,,,,,,,,,,,,,1964
48,BAL,Bobby Edmonds,Tennessee State,,,0.0,,,,,,,,,,,,,,,1964
49,PHI,Ricky Kaminsky,Yale,,,0.0,,,,,,,,,,,,,,,1964
50,LAL,Troy Collier,Utah State University,,,0.0,,,,,,,,,,,,,,,1964
51,STL,Ernest Brock,Virginia State University,,,0.0,,,,,,,,,,,,,,,1964
52,SFW,Ray Carey,Missouri,,,0.0,,,,,,,,,,,,,,,1964
53,CIN,Al Thrasher,Wittenberg University,,,0.0,,,,,,,,,,,,,,,1964
54,BOS,Levern Tart,Bradley,,,0.0,,,,,,,,,,,,,,,1964
55,NYK,Em Bryant,DePaul,8,566,11451.0,3722,1593,1700,.410,,.690,20.2,6.6,2.8,3.0,8.6,.036,,,1964
56,DET,Jerry Jackson,Ohio University,,,0.0,,,,,,,,,,,,,,,1964
57,BAL,Ron Miller,Loyola Chicago,,,0.0,,,,,,,,,,,,,,,1964
58,PHI,Gordon Hatton,Dayton,,,0.0,,,,,,,,,,,,,,,1964
59,LAL,Steve Anstett,University of Portland,,,0.0,,,,,,,,,,,,,,,1964
60,STL,Maurice McHartley,North Carolina A&T,,,0.0,,,,,,,,,,,,,,,1964
61,SFW,Dave Lee,San Francisco,,,0.0,,,,,,,,,,,,,,,1964
62,CIN,Vic Rouse,Loyola Chicago,,,0.0,,,,,,,,,,,,,,,1964
63,BOS,Rich Falk,Northwestern,,,0.0,,,,,,,,,,,,,,,1964
64,NYK,Jim Boutin,Lewis and Clark College,,,0.0,,,,,,,,,,,,,,,1964
65,DET,Ralph Telken,Rockhurst University,,,0.0,,,,,,,,,,,,,,,1964
66,BAL,Danny Schultz,Tennessee,,,0.0,,,,,,,,,,,,,,,1964
67,PHI,Bob Pelkington,Xavier,,,0.0,,,,,,,,,,,,,,,1964
68,LAL,Jay Buckley,Duke,,,0.0,,,,,,,,,,,,,,,1964
69,STL,Kendall Rhine,Rice University,,,0.0,,,,,,,,,,,,,,,1964
70,SFW,Bob Garibaldi,Santa Clara,,,0.0,,,,,,,,,,,,,,,1964
71,CIN,Joe Geiger,Xavier,,,0.0,,,,,,,,,,,,,,,1964
72,BOS,Jeff Blue,Butler,,,0.0,,,,,,,,,,,,,,,1964
73,NYK,Jack Brens,Wisconsin,,,0.0,,,,,,,,,,,,,,,1964
74,BAL,Tom Black,South Dakota State,1,71,873.0,299,259,44,.402,,.648,12.3,4.2,3.6,0.6,0.1,.008,,,1964
75,PHI,Jim Brennan,Clemson,,,0.0,,,,,,,,,,,,,,,1964
76,STL,Darel Carrier,Western Kentucky,,,0.0,,,,,,,,,,,,,,,1964
77,SFW,Camden Wall,California,,,0.0,,,,,,,,,,,,,,,1964
78,CIN,Scotty Pierce,West Texas A&M University,,,0.0,,,,,,,,,,,,,,,1964
79,BOS,Pete Kelley,West Virginia Tech,,,0.0,,,,,,,,,,,,,,,1964
80,NYK,Jim Christy,Georgetown,,,0.0,,,,,,,,,,,,,,,1964
81,BAL,Bill Kusleika,Tulsa,,,0.0,,,,,,,,,,,,,,,1964
82,PHI,Wally Briggs,North Carolina A&T,,,0.0,,,,,,,,,,,,,,,1964
83,STL,Frank Stephens,Virginia State University,,,0.0,,,,,,,,,,,,,,,1964
84,SFW,Jeff Cotwright,Chapman University,,,0.0,,,,,,,,,,,,,,,1964
85,CIN,Bob Neumann,Memphis,,,0.0,,,,,,,,,,,,,,,1964
86,BOS,Duane Corriveau,Clark University,,,0.0,,,,,,,,,,,,,,,1964
87,NYK,Dennis Lynch,Yale,,,0.0,,,,,,,,,,,,,,,1964
88,BAL,Fred Glover,Winston-Salem State,,,0.0,,,,,,,,,,,,,,,1964
89,PHI,Thomas Lowry,West Virginia,,,0.0,,,,,,,,,,,,,,,1964
90,STL,Gerald Govan,Saint Mary of the Plains College,,,0.0,,,,,,,,,,,,,,,1964
91,CIN,Jim Reynolds,Abilene Christian University,,,0.0,,,,,,,,,,,,,,,1964
92,BAL,Frank Kamiaski,Randolph-Macon College,,,0.0,,,,,,,,,,,,,,,1964
93,PHI,Julius Myers,Morris Brown College,,,0.0,,,,,,,,,,,,,,,1964
94,STL,Warren Sutton,Sir George Williams University,,,0.0,,,,,,,,,,,,,,,1964
95,CIN,Fred Jones,Youngstown State University,,,0.0,,,,,,,,,,,,,,,1964
96,BAL,Doug Moon,Utah,,,0.0,,,,,,,,,,,,,,,1964
97,STL,Cecil Tuttle,Georgetown College,,,0.0,,,,,,,,,,,,,,,1964
98,BAL,Pete Gent,Michigan State,,,0.0,,,,,,,,,,,,,,,1964
99,STL,Bill Blair,Virginia Military Institute,,,0.0,,,,,,,,,,,,,,,1964
100,BAL,Sandy Williams,Saint Francis University,,,0.0,,,,,,,,,,,,,,,1964
101,STL,Al Cech,Detroit Mercy,,,0.0,,,,,,,,,,,,,,,1964
2,NYK,Bill Bradley,Princeton,10,742,22799.0,9217,2354,2533,.448,,.840,30.7,12.4,3.2,3.4,38.8,.082,-2.2,-0.5,1965
3,DET,Bill Buntin,Michigan,1,42,713.0,324,252,36,.395,,.615,17.0,7.7,6.0,0.9,0.9,.062,,,1965
10,LAL,Gail Goodrich,UCLA,14,1031,33527.0,19181,3279,4805,.456,,.807,32.5,18.6,3.2,4.7,76.3,.109,-0.3,6.0,1965
1,SFW,Fred Hetzel,Davidson,6,416,8885.0,4658,2444,462,.421,,.817,21.4,11.2,5.9,1.1,15.9,.086,,,1965
4,SFW,Rick Barry,Miami (FL),10,794,28825.0,18395,5168,4017,.449,,.900,36.3,23.2,6.5,5.1,93.4,.156,3.0,24.8,1965
5,NYK,Dave Stallworth,Wichita State,8,522,10494.0,4860,2453,872,.438,,.732,20.1,9.3,4.7,1.7,20.3,.093,-0.4,0.2,1965
6,BAL,Jerry Sloan,University of Evansville,11,755,25750.0,10571,5615,1925,.427,,.722,34.1,14.0,7.4,2.5,49.5,.092,0.7,4.1,1965
7,PHI,Billy Cunningham,UNC,9,654,22406.0,13626,6638,2625,.446,,.720,34.3,20.8,10.1,4.0,63.2,.135,2.1,3.6,1965
8,STL,Jim Washington,Villanova,11,774,22668.0,8168,6637,1105,.449,,.705,29.3,10.6,8.6,1.4,39.3,.083,-0.8,1.3,1965
9,CIN,Nate Bowman,Wichita State,5,243,2171.0,702,791,162,.390,,.527,8.9,2.9,3.3,0.7,1.3,.030,,,1965
11,BOS,Ollie Johnson,San Francisco,,,0.0,,,,,,,,,,,,,,,1965
12,SFW,Will Frazier,Grambling State University,1,2,9.0,1,5,1,.000,,.500,4.5,0.5,2.5,0.5,-0.1,-.385,,,1965
13,NYK,Dick Van Arsdale,Indiana,12,921,31771.0,15079,3807,3057,.464,,.790,34.5,16.4,4.1,3.3,75.2,.114,-0.8,2.6,1965
14,DET,Tom Van Arsdale,Indiana,12,929,28682.0,14232,3942,2085,.431,,.762,30.9,15.3,4.2,2.2,36.6,.061,-2.9,-2.2,1965
15,BAL,Tal Brody,Illinois,,,0.0,,,,,,,,,,,,,,,1965
16,PHI,Jesse Branson,Elon University,1,5,14.0,5,9,1,.167,,.750,2.8,1.0,1.8,0.2,0.0,-.060,,,1965
17,NYK,Hal Blevins,University of Arkansas at Pine Bluff,,,0.0,,,,,,,,,,,,,,,1965
18,CIN,Flynn Robinson,Wyoming,7,494,11569.0,7147,1294,1516,.456,,.849,23.4,14.5,2.6,3.1,31.3,.130,,,1965
19,LAL,John Fairchild,BYU,1,30,171.0,60,45,11,.258,,.700,5.7,2.0,1.5,0.4,-0.6,-.166,,,1965
20,BOS,Ron Watts,Wake Forest,2,28,92.0,40,39,2,.261,,.696,3.3,1.4,1.4,0.1,-0.1,-.062,,,1965
21,SFW,Keith Erickson,UCLA,12,766,18841.0,7251,3449,1991,.435,,.769,24.6,9.5,4.5,2.6,25.2,.064,-0.6,2.3,1965
22,NYK,Barry Clemens,Ohio Wesleyan University,11,790,12585.0,5312,2532,905,.454,,.756,15.9,6.7,3.2,1.1,18.6,.071,-0.9,0.7,1965
23,DET,Ron Reed,Notre Dame,2,119,2245.0,951,762,173,.364,,.571,18.9,8.0,6.4,1.5,-1.0,-.021,,,1965
24,BAL,Joe Newton,Auburn,,,0.0,,,,,,,,,,,,,,,1965
25,PHI,Bob Weiss,Penn State,12,783,17277.0,5989,1398,2931,.428,,.828,22.1,7.6,1.8,3.7,31.2,.087,0.2,2.6,1965
26,STL,Ken McIntyre,St. John's,,,0.0,,,,,,,,,,,,,,,1965
27,CIN,Jon McGlocklin,Indiana,11,792,20930.0,9169,1928,2280,.489,,.845,26.4,11.6,2.4,2.9,47.1,.108,-1.5,0.5,1965
28,LAL,Jim Caldwell,Georgia Tech,,2,7.0,0,1,1,.000,,,3.5,0.0,0.5,0.5,0.0,-.117,,,1965
29,BOS,Toby Kimball,UConn,9,571,10439.0,3470,3870,571,.425,,.573,18.3,6.1,6.8,1.0,14.2,.065,-1.4,0.2,1965
30,SFW,Warren Rustand,Arizona,,,0.0,,,,,,,,,,,,,,,1965
31,NYK,Larry Lembo,Manhattan College,,,0.0,,,,,,,,,,,,,,,1965
32,DET,Jim King,Oklahoma State,,,0.0,,,,,,,,,,,,,,,1965
33,BAL,Skip Thoren,Illinois,,,0.0,,,,,,,,,,,,,,,1965
34,PHI,Hank Finkel,Dayton,9,551,6866.0,2790,2151,426,.449,,.662,12.5,5.1,3.9,0.8,13.5,.094,-3.0,-0.2,1965
35,STL,Lynn Nance,Washington,,,0.0,,,,,,,,,,,,,,,1965
36,CIN,Bob Love,Southern University and A&M College,11,789,25120.0,13895,4653,1123,.429,,.805,31.8,17.6,5.9,1.4,50.4,.096,-1.8,0.4,1965
37,LAL,Brooks Henderson,Florida,,,0.0,,,,,,,,,,,,,,,1965
38,BOS,Richie Tarrant,Saint Michael's College,,,0.0,,,,,,,,,,,,,,,1965
39,SFW,Eddie Jackson,Oklahoma City University,,,0.0,,,,,,,,,,,,,,,1965
40,NYK,Steve Nisenson,Hofstra,,,0.0,,,,,,,,,,,,,,,1965
41,DET,Ted Manning,NC Central,,,0.0,,,,,,,,,,,,,,,1965
42,BAL,Charles Dinkins,Miami University,,,0.0,,,,,,,,,,,,,,,1965
43,PHI,Richie Moore,Villanova,,,0.0,,,,,,,,,,,,,,,1965
44,STL,Theodore Werner,Washington State,,,0.0,,,,,,,,,,,,,,,1965
45,CIN,Warren Isaac,Iona College,,,0.0,,,,,,,,,,,,,,,1965
46,LAL,A.W. Davis,Tennessee,,,0.0,,,,,,,,,,,,,,,1965
47,BOS,Don Davidson,Davidson,,,0.0,,,,,,,,,,,,,,,1965
48,SFW,Jim Jarvis,Oregon State,,,0.0,,,,,,,,,,,,,,,1965
49,NYK,Warren Davis,North Carolina A&T,,,0.0,,,,,,,,,,,,,,,1965
50,DET,Barry Smith,High Point University,,,0.0,,,,,,,,,,,,,,,1965
51,BAL,Lyvonne LeFlore,Jackson State University,,,0.0,,,,,,,,,,,,,,,1965
